,弹幕
1,5
2,？哈哈哈哈哈哈哈哈法术开
3,5
4,BGM起起落落，老夫的心脏啊
5,在下赵子龙
6,没想到阿泽是卡哇伊1
7,嗯～那我就放心了
8,非常好，直奔主题！
9,好家伙，这上来就问
10,这一段真可爱哈哈哈
11,她是你的心上人！！！
12,你命中注定的老婆！
13,哈哈哈哈！昆明的朋友报道！
14,眼神变了
15,充电五分钟，通话两小时
16,焯，我也叫阿泽，瞬间出戏
17,BGM拉我回到了仙剑三神魔之井……
18,我从东土大唐来，往西天取经去
19,哈哈哈哈哈哈有点想磕
20,想吃豆腐
21,搓手不及
22,自古红蓝出cp
23,你的充电宝
24,啥都好，调色师该鱿鱼了
25,凭本事刷到第二集
26,剧本很可以啊，给编剧一个赞
27,嬉皮笑脸是吧
28,疯狂流汗，我家oc也叫阿泽
29,你有啦哈哈哈哈哈
30,嘴形是：太巧了，我也单身！！！
31,是心动的感觉
32,很好，结印了
33,朝朝你不该这么话的！哈哈！
34,原来竟是充电宝?!(>﹏<)
35,太巧了，我也单身
36,不需要理由
37,不需要理由
38,不需要理由
39,不需要理由
40,不需要理由
41,不需要理由
42,想吃豆腐
43,不需要理由
44,想吃豆腐
45,想吃豆腐
46,不需要理由
47,想吃豆腐
48,不需要理由
49,不需要理由
50,从陌生人到恋人
51,吉可爱帅giegie
52,7分钟，啊，我吉！拙荆令诸位见笑了。
53,哈哈哈哈哈哈哈哈哈哈
54,一记直球
55,下集一起吗
56,成都AG·啊泽
57,先磕为敬
58,数据记住我。
59,人生三问来了？
60,诶这不算近的呀
61,嗯～
62,5个人！
63,演的很好诶
64,哪里能看完整版
65,怎么这么短！！！
66,笑死我了
67,穿越了
68,充电宝
69,措手不及可以这么用吗？
70,？猎魔人的徽章
71,是心动的感觉
72,好主动
73,阿泽有点像王子文
74,我有阿泽同款汉服。
75,北冥神功
76,我去，仙剑三魔界地图的bgm
77,看了等于没看系列
78,阿泽很主动嘛
79,这个好像是一个电视剧吧？
80,哎，这对比不就出来了吗
81,那我走?
82,很好，请继续
83,好可爱啊
84,没有啊
85,4个人！
86,充电宝
87,哈哈哈哈哈
88,这山有点耳熟
89,阿泽好直接
90,充电宝
91,这个不是那个师父吗
92,大数据记住我
93,道侣，你好呀
94,哈哈哈
95,散修咯
96,不知道为什么好好笑
97,静电咯！
98,噗哈哈哈哈哈哈
99,哈哈哈哈
100,我去
101,哈哈哈哈哈哈
102,哈哈哈哈哈哈哈
103,充电宝
104,哈哈哈哈哈
105,！！
106,啊啊啊啊啊啊啊
107,耶
108,灵剑山行不？
109,那我走？
110,233333
111,老吉绝绝子
112,哈哈哈
113,白衣服的太美了
114,来电了？？？
115,喵喵喵
116,阿泽是1
117,刚刚
118,草率了
119,笑死
120,老吉才是1
121,哈哈哈哈哈哈哈哈哈哈哈哈哈叮~
122,从来处来，往去处去
123,比她大
124,又靠近了
125,想吃豆腐
